id,phone,preference,preferredLanguage
235,9156942049,1,Assamese
236,3153691574,1,Arabic
237,0269216334,1,Dutch
238,1436156288,1,Fijian
239,0523019112,1,Tamil
240,6570267922,1,Swahili
241,9709326634,1,Dari
242,2952462227,1,Arabic
243,9878306285,1,Moldovan
244,4353210471,1,Italian
245,9222067581,1,Bengali
246,9328411169,1,Northern Sotho
247,0620028101,1,Swedish
248,4201778242,1,Latvian
249,7774992535,1,Bislama
250,9784800656,1,Croatian
251,7965299807,1,Nepali
252,2733234523,1,Oriya
253,9088258118,1,Dzongkha
254,2453897467,1,Armenian
255,2221642539,1,Maltese
256,1598531109,1,Dzongkha
257,8265274662,1,Malagasy
258,4818149318,1,Danish
259,2554748660,1,Japanese
260,9797205013,1,Dhivehi
261,4128669219,1,Hungarian
262,1102211318,1,Hindi
263,1991287964,1,Oriya
264,6172040712,1,Malagasy
265,9249928658,1,Bosnian
266,2789082459,1,Georgian
267,2096930431,1,Dutch
268,8576025540,1,Macedonian
269,3658712647,1,Tetum
270,4736973547,1,Filipino
271,5804585206,1,Amharic
272,1411618080,1,Lao
273,2670075141,1,Tamil
274,5362193122,1,Greek
275,1585268070,1,Lithuanian
276,4636131590,1,Tajik
277,9040028716,1,Portuguese
278,8366076010,1,Punjabi
279,0454763666,1,Czech
280,2060733474,1,Italian
281,7654090492,1,Armenian
282,2174427611,1,Albanian
283,5050898879,1,Swahili
284,6262949302,1,Kurdish
285,1966903869,1,English
286,0004607899,1,Assamese
287,9596799137,1,Azeri
288,9597949303,1,Swahili
289,2173259387,1,Tok Pisin
290,5784979777,1,Japanese
291,9512392972,1,Georgian
292,1284074053,1,New Zealand Sign Language
293,1844411247,1,Georgian
294,6641781019,1,Dari
295,7485160387,1,Punjabi
296,3218166563,1,Maltese
297,1471520775,1,Burmese
298,4448634959,1,Papiamento
299,5337857300,1,Thai
300,8568091658,1,Malagasy
301,4786860111,1,Kashmiri
302,4486622250,1,Punjabi
303,3916393696,1,Belarusian
304,2397826628,1,German
305,2013907291,1,Estonian
306,3747174689,1,Dhivehi
307,0810250993,1,Arabic
308,3295262204,1,Dhivehi
309,9864153592,1,Portuguese
310,6881517160,1,Georgian
311,1825681148,1,Maltese
312,9116850306,1,Armenian
313,7910387335,1,New Zealand Sign Language
314,2702230617,1,Moldovan
315,7602000461,1,English
316,5538157249,1,Thai
317,7484234340,1,Tok Pisin
318,6777330336,1,Sotho
319,1122321116,1,Estonian
320,4896493983,1,Khmer
321,3799593330,1,Azeri
322,4569748267,1,Filipino
323,3615340850,1,Montenegrin
324,7729326166,1,Icelandic
325,3484817078,1,Luxembourgish
326,5332456312,1,Punjabi
327,2906296968,1,Moldovan
328,1717308223,1,Swati
329,9549470450,1,Irish Gaelic
330,9976213530,1,Afrikaans
331,3064591708,1,Māori
332,4559561972,1,Gagauz
333,3393558056,1,Somali
334,0771198176,1,Maltese
335,2618100376,1,Tamil
336,9337136725,1,Tetum
337,3681889829,1,Armenian
338,7581252562,1,Hiri Motu
339,9824257945,1,Kannada
340,0531839603,1,Latvian
341,1234068575,1,Gagauz
342,2983442577,1,Kannada
343,2760143836,1,Armenian
344,2968755023,1,Zulu
345,3169257310,1,Greek
346,5135699288,1,Bosnian
347,7354397951,1,Afrikaans
348,3583353962,1,New Zealand Sign Language
349,5753861511,1,Yiddish
350,5208155907,1,Gagauz
351,4755298589,1,Punjabi
352,5728392634,1,Quechua
353,0464778697,1,Hebrew
354,5058811315,1,Malay
355,0556311111,1,Japanese
356,6780451830,1,Ndebele
357,1371517356,1,Somali
358,8919870855,1,Latvian
359,9746450763,1,Gujarati
360,1846890611,1,Estonian
361,0359355023,1,Hebrew
362,9250364005,1,Tamil
363,5237571967,1,Assamese
364,1527677211,1,Albanian
365,5772459457,1,French
366,6222203388,1,Danish
367,1477495801,1,Kashmiri
368,1168230089,1,Portuguese
369,9733130350,1,Kannada
370,2798802667,1,Aymara
371,2483769510,1,Swedish
372,1714379789,1,Malay
373,9929573691,1,Marathi
374,6103569306,1,Moldovan
375,2697796477,1,Estonian
376,8739270668,1,English
377,5732527107,1,Kannada
378,9309274744,1,English
379,3683275545,1,Arabic
380,2822888167,1,Portuguese
381,7228143274,1,Indonesian
382,6690930254,1,English
383,2319863441,1,Swedish
384,7630057425,1,Northern Sotho
385,0097102566,1,German
386,5381423749,1,Swedish
387,1613231429,1,Norwegian
388,5164390038,1,Haitian Creole
389,0391588016,1,Czech
390,9243518474,1,Aymara
391,7482637094,1,Aymara
392,2932829936,1,Italian
393,9454448229,1,Kannada
394,2910176835,1,Chinese
395,4717432947,1,Latvian
396,3374136786,1,West Frisian
397,4664998882,1,Icelandic
398,4157538110,1,Guaraní
399,6508877303,1,Georgian
400,9955898070,1,Kyrgyz
401,3394638347,1,Luxembourgish
402,8325638767,1,Moldovan
403,5350647355,1,Oriya
404,5594009258,1,Moldovan
405,8992629172,1,Persian
406,0188019057,1,Sotho
407,6309900532,1,Tsonga
408,7940604430,1,Hiri Motu
409,3987097601,1,Finnish
410,3827784708,1,Nepali
411,2846098662,1,Lithuanian
412,5616365485,1,Macedonian
413,0902873468,1,Guaraní
414,0370247879,1,Tswana
415,5505964758,1,Maltese
416,8616595749,1,Hebrew
417,4066158817,1,Lithuanian
418,0029945349,1,Thai
419,1907089922,1,Malayalam
420,7864047538,1,Bulgarian
421,6556531068,1,Hiri Motu
422,2670049913,1,Malayalam
423,9111664164,1,Swahili
424,6339428168,1,Tamil
425,3409910277,1,Hiri Motu
426,6138554676,1,Guaraní
427,9249014010,1,Punjabi
428,6331678187,1,Thai
429,6132305803,1,Zulu
430,1400445271,1,Sotho
431,1412467020,1,Hebrew
432,3778326022,1,Punjabi
433,4203731502,1,French
434,0373889889,1,Kazakh
435,5259182140,1,Malay
436,5351817756,1,Irish Gaelic
437,9929804511,1,Chinese
438,7111369753,1,Lithuanian
439,6983630791,1,French
440,3486590510,1,Papiamento
441,7540633851,1,Kyrgyz
442,6253930079,1,Bengali
443,8958006608,1,Hebrew
444,8669168842,1,Māori
445,9771096061,1,Filipino
446,9322008581,1,Kazakh
447,3921806074,1,Mongolian
448,7952460153,1,Tajik
449,7584422807,1,Armenian
450,1185233547,1,Khmer
451,9654070527,1,Montenegrin
452,3608368225,1,Northern Sotho
453,3874006168,1,Fijian
454,5945581397,1,Polish
455,9363279064,1,Tswana
456,9727368032,1,Kannada
457,8638423556,1,Gujarati
458,3184589755,1,Malayalam
459,6624366898,1,Ndebele
460,3065376819,1,Estonian
461,2439959736,1,New Zealand Sign Language
462,6045443469,1,Burmese
463,1981817565,1,Montenegrin
464,1334948662,1,Bengali
465,2397558275,1,Persian
466,7264607914,1,Dzongkha
467,4989793273,1,Hiri Motu
468,7813634416,1,Moldovan
469,2073109513,1,Northern Sotho
470,8115319842,1,Tsonga
471,1656029140,1,Dhivehi
472,5340146055,1,Aymara
473,2659983796,1,Armenian
474,5603964574,1,Chinese
475,3379286382,1,Indonesian
476,4393809453,1,Lao
477,8358128969,1,Assamese
478,4691350684,1,French
479,0641335777,1,New Zealand Sign Language
480,5342868249,1,Estonian
481,0600882499,1,Chinese
482,7947741335,1,Dutch
483,4289394187,1,Swati
484,0627093827,1,Chinese
485,4058427423,1,Hungarian
486,4588591663,1,Kurdish
487,3128071093,1,Nepali
488,0433738818,1,Aymara
489,5808276289,1,Punjabi
490,1483183662,1,Amharic
491,0892318054,1,Moldovan
492,8493406968,1,Lithuanian
493,6423070107,1,Gagauz
494,4351252885,1,Luxembourgish
495,9205372712,1,Malayalam
496,8862339216,1,Hiri Motu
497,8658705901,1,Chinese
498,0919960785,1,Thai
499,9705834814,1,Haitian Creole
500,4711274066,1,Quechua
501,7083148176,1,Dari
502,8377369310,1,Fijian
503,8512376077,1,Finnish
504,9894951684,1,Polish
505,6700007351,1,Finnish
506,9628630682,1,Danish
507,7080772661,1,Azeri
508,8732108646,1,Pashto
509,7817440444,1,Moldovan
510,8933332878,1,Burmese
511,7061804829,1,Bengali
512,2586110719,1,Malay
513,3812471941,1,Japanese
514,6424927347,1,New Zealand Sign Language
515,9650136275,1,Malay
516,8411007695,1,Chinese
517,6424148272,1,Guaraní
518,4266331326,1,English
519,7484819156,1,Hindi
520,2154223281,1,Kannada
521,9825390826,1,Amharic
522,0641315234,1,Malayalam
523,5917057449,1,Swahili
524,2558381306,1,Luxembourgish
525,7157715870,1,Icelandic
526,8602467917,1,Amharic
527,8921113748,1,West Frisian
528,7385372063,1,Tswana
529,3245971360,1,Tajik
530,1433111171,1,Croatian
531,8624248365,1,Afrikaans
532,4884982455,1,Kurdish
533,5162736209,1,Dutch
534,4160829449,1,Dari
535,0883933935,1,Bosnian
536,3884769732,1,Tok Pisin
537,2197738523,1,Macedonian
538,5764654913,1,Montenegrin
539,1196563865,1,Kannada
540,1978972776,1,Dutch
541,5920433191,1,Haitian Creole
542,9491581240,1,Arabic
543,4260987344,1,Arabic
544,7840083691,1,Assamese
545,6363409680,1,Mongolian
546,2299618911,1,Japanese
547,7382655066,1,Thai
548,9515012375,1,Assamese
549,7952368721,1,Tajik
550,0975215900,1,Bengali
551,4966703187,1,Punjabi
552,0419719741,1,New Zealand Sign Language
553,3350196233,1,Irish Gaelic
554,7388835224,1,Fijian
555,9332816848,1,German
556,4869880045,1,Malagasy
557,3887921918,1,Lithuanian
558,0223997857,1,Lao
559,1044879485,1,Pashto
560,0038723506,1,Tetum
561,6042836945,1,Lithuanian
562,2897550205,1,Māori
563,6808964255,1,Tswana
564,4190437443,1,Persian
565,0745521817,1,Burmese
566,7897678702,1,Spanish
567,3936706403,1,Zulu
568,2554841219,1,Hiri Motu
569,8931989146,1,Maltese
570,9418584280,1,Hungarian
571,0335904141,1,Somali
572,9094344767,1,Khmer
573,4356653349,1,Lao
574,1885666803,1,Armenian
575,4228260119,1,Guaraní
576,5917321342,1,Malay
577,2297189237,1,Afrikaans
578,6355428470,1,Irish Gaelic
579,7318981582,1,Malay
580,0419563674,1,Luxembourgish
581,0076596161,1,English
582,2786552184,1,Papiamento
583,1901890913,1,Oriya
584,1897041202,1,Belarusian
585,5783607222,1,Luxembourgish
586,8957780756,1,Amharic
587,9132316562,1,Lao
588,9344358823,1,English
589,7134941574,1,English
590,8721352681,1,Macedonian
591,7108868949,1,Estonian
592,2908776036,1,Telugu
593,7848892274,1,Japanese
594,0429037110,1,Hiri Motu
595,3060317095,1,Ndebele
596,1651458799,1,Khmer
597,2661556935,1,Malay
598,6378208575,1,Hiri Motu
599,5413331727,1,Persian
600,4301453549,1,Croatian
601,6180401089,1,Bosnian
602,9811472268,1,Macedonian
603,4754502991,1,Norwegian
604,3618352571,1,Marathi
605,6656322073,1,Bengali
606,5430846740,1,Croatian
607,1628871491,1,Danish
608,6750335464,1,Kannada
609,4919573530,1,Thai
610,0676497480,1,Kazakh
611,4238322730,1,Kashmiri
612,5869527420,1,Haitian Creole
613,2095731151,1,Gujarati
614,1510080101,1,Aymara
615,0213139640,1,Dhivehi
616,3351211964,1,Pashto
617,3144615105,1,Dutch
618,4113222001,1,Nepali
619,4608154394,1,Quechua
620,0838659883,1,Kazakh
621,1582887856,1,Tswana
622,7683530436,1,Telugu
623,1395153343,1,Icelandic
624,8932190408,1,Tamil
625,0828336116,1,Malayalam
626,9153360498,1,Latvian
627,1350272730,1,Quechua
628,2270717049,1,Aymara
629,9865507015,1,Finnish
630,7146571892,1,Chinese
631,3509124638,1,Dutch
632,8074542369,1,Khmer
633,0860582315,1,Kurdish
634,9872452146,1,Romanian
635,4124341973,1,Tswana
636,6510113318,1,Hebrew
637,6564695171,1,Azeri
638,4274052450,1,Hindi
639,7726835508,1,Papiamento
640,2820176523,1,Thai
641,3666725770,1,Somali
642,3341906894,1,Maltese
643,2390832919,1,Tok Pisin
644,2040593876,1,Montenegrin
645,6461742670,1,Norwegian
646,5507146494,1,Kyrgyz
647,5952598216,1,Northern Sotho
648,8716158761,1,Albanian
649,2176659438,1,Mongolian
650,9424026870,1,Japanese
651,7344362875,1,Swati
652,7919115985,1,Māori
653,2206480453,1,Oriya
654,8169131001,1,Malagasy
655,5353460746,1,Punjabi
656,2187188533,1,Persian
657,6313027578,1,Bengali
658,7751909496,1,Azeri
659,6095779033,1,Hungarian
660,5018595506,1,Guaraní
661,6957014897,1,Zulu
662,0296910306,1,Tetum
663,7151716441,1,Croatian
664,0295463523,1,Bislama
665,0045164725,1,Malay
666,0302328703,1,Papiamento
667,9677301392,1,Hindi
668,5907725117,1,Hiri Motu
669,6020077732,1,Kazakh
670,7398214918,1,Latvian
671,3785082673,1,Yiddish
672,7730656594,1,Czech
673,1683610751,1,Luxembourgish
674,9593030508,1,Tok Pisin
675,0034546809,1,Swati
676,6302720843,1,Somali
677,3620074213,1,Guaraní
678,9197782643,1,Moldovan
679,3706002952,1,Gujarati
680,0856199724,1,Albanian
681,0174216257,1,Guaraní
682,1591573029,1,Montenegrin
683,8059977772,1,Amharic
684,8924225047,1,Haitian Creole
685,5683589779,1,Dari
686,1553264277,1,Azeri
687,0692648311,1,Kazakh
688,2097362800,1,Pashto
689,2501499111,1,Tetum
690,1687536490,1,Macedonian
691,9048707312,1,Polish
692,3172176557,1,Dutch
693,9072766654,1,Punjabi
694,1405736101,1,Macedonian
695,6957785330,1,Hebrew
696,9020792917,1,Czech
697,1247718504,1,Catalan
698,4862488723,1,Amharic
699,4473462619,1,Filipino
700,6918332696,1,Danish
701,5492253785,1,Dhivehi
702,1263500513,1,Arabic
703,8401411044,1,Belarusian
704,2594278235,1,Maltese
705,1304816631,1,Lithuanian
706,8769076537,1,Nepali
707,0112428025,1,Bislama
708,4992303766,1,Greek
709,5044083409,1,Hebrew
710,8670885927,1,Hindi
711,5095060841,1,Lao
712,8469835838,1,Portuguese
713,3075277600,1,Luxembourgish
714,5253592782,1,Arabic
715,9635747626,1,Chinese
716,9092165834,1,Papiamento
717,7710843417,1,Punjabi
718,0994646346,1,Guaraní
719,5888934454,1,Latvian
720,7772011847,1,New Zealand Sign Language
721,4500680632,1,Hindi
722,4765618257,1,Italian
723,0039664312,1,Telugu
724,2632847858,1,Bosnian
725,8067245045,1,Kashmiri
726,8512184788,1,Tsonga
727,4563009153,1,Luxembourgish
728,7332428231,1,Tetum
729,1033771649,1,Hindi
730,1403816156,1,Czech
731,7253347653,1,Luxembourgish
732,4985967632,1,German
733,3352286199,1,Georgian
734,4631363294,1,Kannada
735,7246613163,1,Kannada
736,6900354444,1,Somali
737,2244342697,1,Dari
738,2418864956,1,Quechua
739,3345103795,1,Tok Pisin
740,9628342298,1,Arabic
741,0917895000,1,Tajik
742,1476760315,1,Norwegian
743,3028551673,1,Swahili
744,9508264701,1,Polish
745,2486717907,1,Telugu
746,4078376938,1,Georgian
747,9795223142,1,Belarusian
748,8856665261,1,Tetum
749,0021530764,1,Mongolian
750,5792860904,1,Zulu
751,0117421815,1,Dutch
752,3936453314,1,Chinese
753,5789309763,1,Gujarati
754,3767200687,1,Macedonian
755,3560586438,1,Croatian
756,9634149082,1,Lao
757,0959225269,1,Persian
758,6282901287,1,Bulgarian
759,9452842902,1,Afrikaans
760,8952242569,1,Kyrgyz
761,0297006947,1,Tajik
762,0426161309,1,Bulgarian
763,6552051095,1,Lao
764,5319836077,1,Japanese
765,7717340897,1,Macedonian
766,6040322304,1,Amharic
767,7514068438,1,Mongolian
768,8301912268,1,Portuguese
769,6658725111,1,Lao
770,1748001438,1,Armenian
771,4165288206,1,Burmese
772,2790713050,1,Kannada
773,9212827978,1,French
774,8402007028,1,Tsonga
775,4420462768,1,Malagasy
776,2605004989,1,Spanish
777,0767248029,1,Thai
778,1128512844,1,Kannada
779,0546815373,1,Somali
780,0654467569,1,Malay
781,5429940879,1,Persian
782,3404725242,1,Bulgarian
783,5546602375,1,Somali
784,6386895471,1,Assamese
785,4146145691,1,Aymara
786,4537906156,1,Bulgarian
787,0793363845,1,West Frisian
788,4010888574,1,Tsonga
789,0647159082,1,Quechua
790,7657019855,1,Tok Pisin
791,3012514796,1,Lao
792,3006533875,1,Chinese
793,0106660065,1,Bosnian
794,6304491857,1,Lithuanian
795,1761968807,1,Swati
796,7830635548,1,Amharic
797,8717859994,1,Korean
798,0041255893,1,Dzongkha
799,3060577122,1,Yiddish
800,9265867194,1,Montenegrin
801,7869463385,1,New Zealand Sign Language
802,8588026686,1,Pashto
803,4582111207,1,Norwegian
804,5039056884,1,Mongolian
805,9681124833,1,English
806,4164758983,1,Armenian
807,5981248038,1,Mongolian
808,8357643263,1,Spanish
809,2454824808,1,Thai
810,8295830075,1,Zulu
811,6365878929,1,Catalan
812,7701033661,1,Guaraní
813,5512964791,1,Montenegrin
814,4438749607,1,Korean
815,2972915925,1,Catalan
816,9641657341,1,Swedish
817,5253082176,1,Tok Pisin
818,4603047224,1,Sotho
819,2925354438,1,Guaraní
820,6029278263,1,Malayalam
821,9403251265,1,Hebrew
822,9588345201,1,Papiamento
823,8448921086,1,Portuguese
824,7788747423,1,Quechua
825,7637299436,1,Zulu
826,9171539951,1,Tok Pisin
827,5895144054,1,Northern Sotho
828,8354319601,1,Bislama
829,8834194045,1,Ndebele
830,9794065810,1,Somali
831,0191632033,1,Marathi
832,8794467079,1,Swati
833,3010786317,1,Swati
834,5397898116,1,Gagauz
835,2191423539,1,Kazakh
836,9444037099,1,Indonesian
837,4040608214,1,Yiddish
838,8311758926,1,Kurdish
839,1563373649,1,Kazakh
840,1029869354,1,Catalan
841,9476100788,1,Macedonian
842,7159181496,1,Gujarati
843,0616632013,1,Sotho
844,9422166808,1,Montenegrin
845,5456984656,1,Hebrew
846,1682280023,1,Khmer
847,8079048037,1,Estonian
848,7013552427,1,Persian
849,5580325201,1,Northern Sotho
850,5698546564,1,Malagasy
851,8092324613,1,Finnish
852,0366424917,1,Macedonian
853,8621698888,1,Fijian
854,7527954135,1,Khmer
855,3464318084,1,West Frisian
856,1450299919,1,Gagauz
857,0586345525,1,Kyrgyz
858,6753286467,1,New Zealand Sign Language
859,0844282272,1,English
860,4345565879,1,Zulu
861,6221356509,1,Tsonga
862,3332901496,1,Danish
863,4335842927,1,Lithuanian
864,7511998350,1,Kyrgyz
865,3693990813,1,Bislama
866,2866843059,1,Czech
867,8187356314,1,Thai
868,2604145892,1,Amharic
869,6769929040,1,Croatian
870,5086290751,1,Bengali
871,2744569626,1,Marathi
872,1468461133,1,Kannada
873,9310584035,1,Irish Gaelic
874,8931858781,1,Kazakh
875,8650678257,1,Quechua
876,0604600608,1,Maltese
877,6532248562,1,Arabic
878,9703258875,1,Albanian
879,7804681296,1,Portuguese
880,9842984975,1,Georgian
881,5348135176,1,German
882,9233673078,1,Māori
883,3377702301,1,Maltese
884,5671604420,1,Bengali
885,2504387719,1,Azeri
886,9409215561,1,Croatian
887,5953428302,1,Ndebele
888,8272360237,1,German
889,5246972072,1,Telugu
890,9771733831,1,Armenian
891,8095795748,1,Lao
892,1377016299,1,Portuguese
893,8899296651,1,West Frisian
894,0804342411,1,Persian
895,7216547919,1,Hindi
896,5523767593,1,Burmese
897,3288318716,1,Amharic
898,0697405987,1,Maltese
899,4106998351,1,Northern Sotho
900,1405401011,1,Chinese
901,5542045723,1,Icelandic
902,7426790587,1,Chinese
903,8764866469,1,Punjabi
904,9241622516,1,Kyrgyz
905,0684903233,1,Luxembourgish
906,6950628672,1,Hungarian
907,3480322399,1,Swedish
908,2424253121,1,Polish
909,8690197311,1,Māori
910,6746508208,1,Lithuanian
911,5577760411,1,Dhivehi
912,4796752548,1,French
913,0798134341,1,Assamese
914,0991690533,1,Finnish
915,2295067468,1,Pashto
916,5476854280,1,German
917,9388372319,1,Dzongkha
918,7042038887,1,Maltese
919,6670736949,1,Czech
920,1589114006,1,Tsonga
921,9622254406,1,Haitian Creole
922,9822139193,1,Bislama
923,1493981455,1,Armenian
924,1712715449,1,Greek
925,7848264787,1,Lithuanian
926,2395777046,1,Punjabi
927,6426565918,1,Tsonga
928,4180522947,1,Dhivehi
929,5450619935,1,Persian
930,0858112218,1,Yiddish
931,1992540516,1,English
932,6795977553,1,Polish
933,7540691566,1,Zulu
934,5331187889,1,Marathi
935,4006362095,1,Icelandic
936,3827969235,1,Māori
937,4030749000,1,Mongolian
938,4162163731,1,Papiamento
939,2081110943,1,Fijian
940,6120954805,1,Tamil
941,3336873424,1,English
942,0589900936,1,Hebrew
943,2151360744,1,Nepali
944,6144023386,1,Tajik
945,3418692588,1,Mongolian
946,9743464314,1,Sotho
947,8241931071,1,Latvian
948,3992365364,1,Malagasy
949,9482390010,1,Bislama
950,8774281221,1,Papiamento
951,8006973840,1,Fijian
952,5862232645,1,Korean
953,2398405061,1,Somali
954,8586044966,1,Bosnian
955,4140468957,1,Dutch
956,1455831798,1,Assamese
957,9759500791,1,Ndebele
958,5663317813,1,Hindi
959,9107775310,1,Lithuanian
960,6986690282,1,Catalan
961,8435245923,1,Yiddish
962,2695101196,1,Swahili
963,6581785756,1,Amharic
964,1199254245,1,English
965,0506153669,1,Croatian
966,7556796837,1,Croatian
967,6390604438,1,Romanian
968,2847476193,1,Northern Sotho
