id,informationProvider,relationshipToPatient,placeOfEmployment
648,The Patient (You),NULL,NULL
649,Artair Hannent,Brother,JumpXS
650,The Patient (You),NULL,NULL
651,The Patient (You),NULL,NULL
652,The Patient (You),NULL,NULL
653,Teresina Jobson,Friend,Avavee
654,The Patient (You),NULL,NULL
655,The Patient (You),NULL,NULL
656,The Patient (You),NULL,NULL
657,The Patient (You),NULL,NULL
658,Happy Defew,Mother,Trilia
659,The Patient (You),NULL,NULL
660,The Patient (You),NULL,NULL
661,Tyler Russan,Cousin,Buzzshare
662,Gabbie Figures,Cousin,Youtags
663,Sly Farragher,Mother,Devpulse
664,The Patient (You),NULL,NULL
665,The Patient (You),NULL,NULL
666,Tildie Circuit,Spouse,Tambee
667,The Patient (You),NULL,NULL
668,The Patient (You),NULL,NULL
669,The Patient (You),NULL,NULL
670,Ogdan Shafto,Mother,Edgeify
671,The Patient (You),NULL,NULL
672,Cole Byrnes,Cousin,Kamba
673,The Patient (You),NULL,NULL
674,Phedra Buttfield,Spouse,Twitterwire
675,The Patient (You),NULL,NULL
676,Rahal Camocke,Spouse,Eire
677,Pamelina Richmont,Brother,Bubblebox
678,Win Smithson,Friend,Twimbo
679,The Patient (You),NULL,NULL
680,The Patient (You),NULL,NULL
681,The Patient (You),NULL,NULL
682,The Patient (You),NULL,NULL
683,Skyler Santori,Sister,Yozio
684,Tammara Searson,Cousin,Voonyx
685,Bernarr Gartshore,Brother,Realmix
686,The Patient (You),NULL,NULL
687,The Patient (You),NULL,NULL
688,Charmion Rozycki,Spouse,Feedmix
689,Kara-lynn Bruckenthal,Son,Twimbo
690,Donaugh Gyurkovics,Friend,Lazzy
691,The Patient (You),NULL,NULL
692,Ara Earwicker,Cousin,Avamba
693,Dewey Calf,Mother,Fivebridge
694,The Patient (You),NULL,NULL
695,The Patient (You),NULL,NULL
696,Jasmin Munns,Cousin,Kanoodle
697,The Patient (You),NULL,NULL
698,Reed Eichmann,Father,Muxo
699,The Patient (You),NULL,NULL
700,The Patient (You),NULL,NULL
701,The Patient (You),NULL,NULL
702,Nye Athridge,Daughter,Meembee
703,Antone Hallan,Brother,Babbleset
704,The Patient (You),NULL,NULL
705,The Patient (You),NULL,NULL
706,The Patient (You),NULL,NULL
707,The Patient (You),NULL,NULL
708,Norah Pacher,Spouse,Edgepulse
709,The Patient (You),NULL,NULL
710,The Patient (You),NULL,NULL
711,The Patient (You),NULL,NULL
712,The Patient (You),NULL,NULL
713,The Patient (You),NULL,NULL
714,Leigha Geyton,Father,Zoovu
715,The Patient (You),NULL,NULL
716,The Patient (You),NULL,NULL
717,The Patient (You),NULL,NULL
718,The Patient (You),NULL,NULL
719,The Patient (You),NULL,NULL
720,Crystal O'Towey,Friend,Mymm
721,The Patient (You),NULL,NULL
722,The Patient (You),NULL,NULL
723,The Patient (You),NULL,NULL
724,The Patient (You),NULL,NULL
725,The Patient (You),NULL,NULL
726,The Patient (You),NULL,NULL
727,The Patient (You),NULL,NULL
728,The Patient (You),NULL,NULL
729,The Patient (You),NULL,NULL
730,The Patient (You),NULL,NULL
731,Davie Gannicott,Mother,Jabbertype
732,Farr Tax,Spouse,Skivee
733,The Patient (You),NULL,NULL
734,The Patient (You),NULL,NULL
735,The Patient (You),NULL,NULL
736,Quinn Feldfisher,Father,Latz
737,The Patient (You),NULL,NULL
738,The Patient (You),NULL,NULL
739,The Patient (You),NULL,NULL
740,Roby Gonning,Father,Wordware
741,The Patient (You),NULL,NULL
742,The Patient (You),NULL,NULL
743,The Patient (You),NULL,NULL
744,The Patient (You),NULL,NULL
745,Alex Osmar,Brother,Jaxbean
746,Byron Tudgay,Friend,Lajo
747,The Patient (You),NULL,NULL
748,Kalvin Grigoli,Friend,Trudoo
749,The Patient (You),NULL,NULL
750,The Patient (You),NULL,NULL
751,The Patient (You),NULL,NULL
752,The Patient (You),NULL,NULL
753,The Patient (You),NULL,NULL
754,The Patient (You),NULL,NULL
755,The Patient (You),NULL,NULL
756,The Patient (You),NULL,NULL
757,The Patient (You),NULL,NULL
758,The Patient (You),NULL,NULL
759,The Patient (You),NULL,NULL
760,The Patient (You),NULL,NULL
761,The Patient (You),NULL,NULL
762,Pall Everist,Brother,Jabbercube
763,Sonnie Oiseau,Sister,DabZ
